object,direction,position,transformations,question,reference
boat,north,"(0,-1,-1)",move 6 units up then rotate 270 degrees counterclockwise around the X axis,Which direction is the object facing?,up
car,south,"(-1,8,-8)",rotate 90 degrees clockwise around the Z axis then rotate 180 degrees counterclockwise around the Y axis then move 3 units down then move 4 units up,Which direction is the object facing?,north
submarine,north,"(3,3,0)",rotate 270 degrees clockwise around the Y axis then move 2 units forward,Where is the object relative to its starting position?,north
helicopter,up,"(-2,-6,-7)",move 5 units left then rotate 180 degrees counterclockwise around the X axis then move 4 units left then rotate 90 degrees counterclockwise around the Z axis,Which direction is the object facing?,east
compass,up,"(-1,-3,6)",move 4 units up then rotate 90 degrees clockwise around the Y axis then move 5 units left,Which direction is the object facing?,up
ship,up,"(2,-2,7)",move 3 units down then move 6 units forward then rotate 180 degrees counterclockwise around the Z axis,Where is the object relative to its starting position?,north
helicopter,south,"(-4,8,7)",move 2 units down then rotate 270 degrees clockwise around the Z axis,Where is the object relative to its starting position?,down
car,west,"(4,6,8)",move 6 units left then rotate 270 degrees counterclockwise around the X axis then rotate 180 degrees counterclockwise around the X axis,Where is the object relative to its starting position?,west
arrow,down,"(0,8,-3)",rotate 90 degrees clockwise around the Z axis then move 4 units right then rotate 90 degrees clockwise around the Y axis then move 4 units down,Which direction is the object facing?,north
rocket,up,"(-6,-6,7)",move 3 units backward then rotate 180 degrees clockwise around the Y axis,Where is the object relative to its starting position?,south
